page,price,location,alapterulet,szobak,erkely
7,300 000 Ft/hó,"Budapest XIV. kerület, Kassai tér 19.",40 m2,1 + 1 fél,6 m2
7,260 000 Ft/hó,"Budapest IX. kerület, Mester utca",50 m2,2,1 m2
8,1 346 660 Ft/hó,"Budapest II. kerület, Páfrány út",200 m2,5,30 m2
8,240 000 Ft/hó,"Budapest XIII. kerület, Kis Gömb utca",41 m2,1,8 m2
8,340 000 Ft/hó,"Budapest XI. kerület, Beregszász út",67 m2,2 + 1 fél,20 m2
8,270 000 Ft/hó,"Budapest XI. kerület, Menyecske utca",85 m2,2 + 1 fél,
8,400 000 Ft/hó,"Budapest V. kerület, Báthory utca",75 m2,2,
8,430 000 Ft/hó,"Budapest II. kerület, Pusztaszeri út",100 m2,3,10 m2
8,260 000 Ft/hó,"Budapest XIV. kerület, Kalocsai utca 49.",34 m2,2,26 m2
8,315 000 Ft/hó,"Budapest II. kerület, Kapás utca",57 m2,1 + 1 fél,4 m2
8,370 000 Ft/hó,"Budapest V. kerület, Belváros",68 m2,2,
8,445 000 Ft/hó,"Budapest II. kerület, Pasarét",100 m2,2,13 m2
8,400 000 Ft/hó,"Budapest V. kerület, Váci utca 52.",52 m2,2 + 1 fél,
8,190 000 Ft/hó,"Budapest XIV. kerület, Alsórákos",46 m2,1,4 m2
8,315 000 Ft/hó,"Budapest XII. kerület, Nárcisz utca",65 m2,2,11 m2
8,850 000 Ft/hó,"Budapest VI. kerület, Paulay Ede utca",148 m2,4,20 m2
8,210 000 Ft/hó,"Budapest IX. kerület, Márton utca 4.",32 m2,1,7 m2
8,384 760 Ft/hó,"Budapest VI. kerület, Ó utca",54 m2,2,2 m2
8,307 808 Ft/hó,"Budapest VI. kerület, Andrássy út 61.",59 m2,2 + 1 fél,
8,300 000 Ft/hó,"Budapest IX. kerület, Ferenc tér",44 m2,2,8 m2
8,450 000 Ft/hó,"Budapest VI. kerület, Teréz körút",90 m2,3,2 m2
8,269 000 Ft/hó,"Budapest XIV. kerület, Lipótvár utca",57 m2,2,10 m2
9,375 000 Ft/hó,"Budapest XIII. kerület, Lőportár utca 20.",71 m2,3,16 m2
9,250 000 Ft/hó,"Budapest VI. kerület, Király utca",51 m2,2 + 1 fél,
9,250 000 Ft/hó,"Budapest XIII. kerület, Madarász Viktor utca",43 m2,2,
9,280 000 Ft/hó,"Budapest XI. kerület, Ménesi út",65 m2,2 + 1 fél,4 m2
9,250 000 Ft/hó,"Budapest XI. kerület, Szirtes út",44 m2,1 + 1 fél,7 m2
9,260 000 Ft/hó,"Budapest VI. kerület, Paulay Ede utca",52 m2,2,
9,220 000 Ft/hó,"Budapest XVII. kerület, Újlak utca",52 m2,1 + 2 fél,
9,220 000 Ft/hó,"Budapest V. kerület, Alkotmány utca",40 m2,1,
9,480 000 Ft/hó,"Budapest XI. kerület, Rupphegyi út",73 m2,3,15 m2
9,225 000 Ft/hó,"Budapest XIV. kerület, Bácskai utca",43 m2,2,
9,300 000 Ft/hó,"Budapest XIII. kerület, Reitter Ferenc utca",100 m2,3,
9,900 000 Ft/hó,"Budapest VI. kerület, Andrássy út",126 m2,3,
9,220 000 Ft/hó,"Budapest VIII. kerület, Tolnai Lajos utca",38 m2,1 + 1 fél,4 m2
9,240 000 Ft/hó,"Budapest XIV. kerület, Istvánmezei út",43 m2,1 + 1 fél,3 m2
9,400 000 Ft/hó,"Budapest II. kerület, Cseppkő utca",82 m2,3,6 m2
9,240 000 Ft/hó,"Budapest II. kerület, Szépvölgyi út",56 m2,2,5 m2
9,280 000 Ft/hó,"Budapest IX. kerület, Márton utca",42 m2,2,
9,410 000 Ft/hó,"Budapest V. kerület, Veres Pálné utca",120 m2,4,6 m2
9,200 000 Ft/hó,"Budapest IX. kerület, Ferenc körút",31 m2,1,
9,250 000 Ft/hó,"Budapest VII. kerület, Jósika utca",35 m2,1,
